years,sub_bituminous_and_lignite,bituminous_and_anthracite
1950,540,1260
1951,555,1295
1952,570,1330
1953,585,1365
1954,585,1365
1955,600,1400
1956,630,1470
1957,660,1540
1958,690,1610
1959,720,1680
1960,750,1750
1961,780,1820
1962,750,1750
1963,780,1820
1964,795,1855
1965,810,1890
1966,825,1925
1967,810,1890
1968,840,1960
1969,840,1960
1970,885,2065
1971,900,2100
1972,915,2135
1973,915.3,2135.7
1974,915.6,2136.4
1975,960,2240
1976,990,2310
1977,1020,2380
1978,1066.2,2487.8
1979,1117.2,2606.8
1980,1136.1,2650.9
1981,1146,2674
1982,1191.6,2780.4
1983,1202.7,2806.3
1984,1262.7,2946.3
1985,1314,3066
1986,1346.1,3140.9
1987,1378.8,3217.2
1988,1406.7,3282.3
1989,1430.7,3338.3
1990,1393.5,3251.5
1991,1344.3,3136.7
1992,1329.6,3102.4
1993,1298.1,3028.9
1994,1320.6,3081.4
1995,1367.1,3189.9
1996,1386.6,3235.4
1997,1386.3,3234.7
1998,1370.7,3198.3
1999,1349.7,3149.3
2000,1391.4,3246.6
2001,1458,3402
2002,1474.2,3439.8
2003,1578.9,3684.1
2004,1698.9,3964.1
2005,1806.6,4215.4
2006,1910.1,4456.9
2007,1993.2,4650.8
2008,2052.6,4789.4
2009,2090.4,4877.6
2010,2206.2,5147.8
2011,2349.9,5483.1
2012,2380.8,5555.2
2013,2392.8,5583.2
2014,2381.7,5557.3
2015,2309.7,5389.3
2016,2187.9,5105.1
2017,2263.5,5281.5
2018,2348.1,5478.9
2019,2388,5572
2020,2272.5,5302.5






































