years,uranium_40,uranium_80,uranium_130,uranium_260
1950,5000,10,10,10
1951,6000,10,10,10
1952,8000,10,10,10
1953,10000,10,10,10
1954,15000,10,10,10
1955,18000,10,10,10
1956,20000,10,10,10
1957,28000,10,10,10
1958,40000,10,10,10
1959,46000,10,10,10
1960,44000,10,10,10
1961,42000,10,10,10
1962,42000,10,10,10
1963,38000,10,10,10
1964,36000,10,10,10
1965,32000,10,10,10
1966,32000,10,10,10
1967,33000,10,10,10
1968,34000,10,10,10
1969,35000,10,10,10
1970,35000,10,10,10
1971,36000,10,10,10
1972,37000,10,10,10
1973,40000,10,10,10
1974,42000,10,10,10
1975,42000,10,10,10
1976,44000,10,10,10
1977,48000,10,10,10
1978,56000,10,10,10
1979,64000,10,10,10
1980,70000,10,10,10
1981,68000,10,10,10
1982,66000,10,10,10
1983,62000,10,10,10
1984,63000,10,10,10
1985,60000,10,10,10
1986,62000,10,10,10
1987,61000,10,10,10
1988,60000,10,10,10
1989,58000,10,10,10
1990,50000,10,10,10
1991,42000,10,10,10
1992,33000,10,10,10
1993,32000,10,10,10
1994,34000,10,10,10
1995,35000,10,10,10
1996,36000,10,10,10
1997,35000,10,10,10
1998,34000,10,10,10
1999,32000,10,10,10
2000,34000,10,10,10
2001,38000,10,10,10
2002,36000,10,10,10
2003,35000,10,10,10
2004,36000,10,10,10
2005,41000,10,10,10
2006,40000,10,10,10
2007,41000,10,10,10
2008,42000,10,10,10
2009,50000,10,10,10
2010,54000,10,10,10
2011,54000,10,10,10
2012,58000,10,10,10
2013,60000,10,10,10
2014,54000,10,10,10
2015,61000,10,10,10
2016,63000,10,10,10
2017,60000,10,10,10
2018,53000,10,10,10
2019,54000,10,10,10
2020,50000,10,10,10


































































