years,Conventional,tight,shale,Coalbed_methane,other
1950,184,12,0.2,3,0.8
1951,230,15,0.25,3.75,1
1952,220.8,14.4,0.24,3.6,0.96
1953,220.8,14.4,0.24,3.6,0.96
1954,276,18,0.3,4.5,1.2
1955,285.2,18.6,0.31,4.65,1.24
1956,294.4,19.2,0.32,4.8,1.28
1957,303.6,19.8,0.33,4.95,1.32
1958,331.2,21.6,0.36,5.4,1.44
1959,349.6,22.8,0.38,5.7,1.52
1960,368,24,0.4,6,1.6
1961,414,27,0.45,6.75,1.8
1962,460,30,0.5,7.5,2
1963,506,33,0.55,8.25,2.2
1964,552,36,0.6,9,2.4
1965,644,42,0.7,10.5,2.8
1966,690,45,0.75,11.25,3
1967,736,48,0.8,12,3.2
1968,782,51,0.85,12.75,3.4
1969,828,54,0.9,13.5,3.6
1970,920,60,1,15,4
1971,1012,66,1.1,16.5,4.4
1972,1058,69,1.15,17.25,4.6
1973,1104,72,1.2,18,4.8
1974,1150,75,1.25,18.75,5
1975,1150,75,1.25,18.75,5
1976,1242,81,1.35,20.25,5.4
1977,1288,84,1.4,21,5.6
1978,1334,87,1.45,21.75,5.8
1979,1380,90,1.5,22.5,6
1980,1426,93,1.55,23.25,6.2
1981,1472,96,1.6,24,6.4
1982,1518,99,1.65,24.75,6.6
1983,1564,102,1.7,25.5,6.8
1984,1610,105,1.75,26.25,7
1985,1656,108,1.8,27,7.2
1986,1702,111,1.85,27.75,7.4
1987,1748,114,1.9,28.5,7.6
1988,1794,117,1.95,29.25,7.8
1989,1840,120,2,30,8
1990,1886,123,2.05,30.75,8.2
1991,1932,126,2.1,31.5,8.4
1992,1932,126,2.1,31.5,8.4
1993,1978,129,2.15,32.25,8.6
1994,1987.2,129.6,2.16,32.4,8.64
1995,2014.8,131.4,2.19,32.85,8.76
1996,2116,138,2.3,34.5,9.2
1997,2116,138,2.3,34.5,9.2
1998,2162,141,2.35,35.25,9.4
1999,2254,147,2.45,36.75,9.8
2000,2300,150,2.5,37.5,10
2001,2326.5,153.9,20.4,39.15,10.05
2002,2352.235294,157.8352941,39,40.83529412,10.09411765
2003,2422.058824,164.8588235,59.4,43.35882353,10.32352941
2004,2490.352941,171.9529412,81.2,45.95294118,10.54117647
2005,2521.847059,176.6470588,102.96,47.94705882,10.59882353
2006,2578.647059,183.2470588,126.85,50.49705882,10.75882353
2007,2616.741176,188.6611765,151,52.76117647,10.83647059
2008,2748.235294,201.0352941,182.4,57.03529412,11.29411765
2009,2587.576471,192.0564706,194.56,55.25647059,10.55058824
2010,2783.647059,209.6470588,234.3,61.14705882,11.25882353
2011,2842,217.2,265.2,64.2,11.4
2012,2857.411765,221.6117647,293.25,66.36176471,11.36470588
2013,2872.058824,226.0588235,322,68.55882353,11.32352941
2014,2885.941176,230.5411765,351.45,70.79117647,11.27647059
2015,2866.847059,232.4470588,377.36,72.24705882,11.09882353
2016,2855.576471,235.0164706,404.54,73.91647059,10.95058824
2017,2962.5,247.5,450,78.75,11.25
2018,3090.294118,262.0941176,501.65,84.34411765,11.61764706
2019,3176.294118,273.4941176,549.4,88.99411765,11.81764706
2020,3068.235294,268.2352941,564,88.23529412,11.29411765


























