years,Agriculture,Industry,Services
2020,2.136,29,37
2021,2.136,29,37
2022,2.136,29,37
2023,2.136,29,37
2024,2.136,29,37
2025,2.136,29,37
2026,2.136,29,37
2027,2.136,29,37
2028,2.136,29,37
2029,2.136,29,37
2030,2.136,29,37
2031,2.136,29,37
2032,2.136,29,37
2033,2.136,29,37
2034,2.136,29,37
2035,2.136,29,37
2036,2.136,29,37
2037,2.136,29,37
2038,2.136,29,37
2039,2.136,29,37
2040,2.136,29,37
2041,2.136,29,37
2042,2.136,29,37
2043,2.136,29,37
2044,2.136,29,37
2045,2.136,29,37
2046,2.136,29,37
2047,2.136,29,37
2048,2.136,29,37
2049,2.136,29,37
2050,2.136,29,37
2051,2.136,29,37
2052,2.136,29,37
2053,2.136,29,37
2054,2.136,29,37
2055,2.136,29,37
2056,2.136,29,37
2057,2.136,29,37
2058,2.136,29,37
2059,2.136,29,37
2060,2.136,29,37
2061,2.136,29,37
2062,2.136,29,37
2063,2.136,29,37
2064,2.136,29,37
2065,2.136,29,37
2066,2.136,29,37
2067,2.136,29,37
2068,2.136,29,37
2069,2.136,29,37
2070,2.136,29,37
2071,2.136,29,37
2072,2.136,29,37
2073,2.136,29,37
2074,2.136,29,37
2075,2.136,29,37
2076,2.136,29,37
2077,2.136,29,37
2078,2.136,29,37
2079,2.136,29,37
2080,2.136,29,37
2081,2.136,29,37
2082,2.136,29,37
2083,2.136,29,37
2084,2.136,29,37
2085,2.136,29,37
2086,2.136,29,37
2087,2.136,29,37
2088,2.136,29,37
2089,2.136,29,37
2090,2.136,29,37
2091,2.136,29,37
2092,2.136,29,37
2093,2.136,29,37
2094,2.136,29,37
2095,2.136,29,37
2096,2.136,29,37
2097,2.136,29,37
2098,2.136,29,37
2099,2.136,29,37
2100,2.136,29,37
