deforestation_investment_ctrl,managed_wood_investment_array_mix
38.6,50.0
37.8475,51.312500000000014
37.09499999999999,52.62500000000002
36.34249999999998,53.93750000000004
35.589999999999975,55.25000000000004
34.83749999999997,56.56250000000006
34.084999999999965,57.875000000000064
33.33249999999995,59.18750000000008
32.57999999999995,60.500000000000085
31.827499999999944,61.8125000000001
31.07499999999993,63.125000000000114
30.32249999999993,64.43750000000013
29.57099999999993,65.75000000000011
28.82024999999994,67.0625000000001
28.069499999999948,68.37500000000009
27.31874999999996,69.68750000000007
26.56799999999997,71.00000000000006
25.817249999999973,72.31250000000004
25.066499999999984,73.62500000000003
24.31575,74.93750000000001
23.565,76.25
22.81425000000001,77.56249999999999
22.06350000000002,78.87499999999997
21.312625000000025,79.00000125000022
20.561000000000018,72.00001000000016
19.809375000000014,65.0000187500001
19.05775000000001,58.00002750000005
18.306125,51.00003624999998
17.554499999999994,44.00004499999992
16.802874999999986,37.00005374999986
16.05124999999998,30.0000624999998
15.299624999999974,23.000071249999746
14.547999999999966,16.000079999999684
13.79637499999996,9.00008874999962
13.044749999999953,2.000097499999569
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
12.83,0.0001
