years,reforestation_investment
2020.0,10.639404859039153
2021.0,9.20283834835774
2022.0,7.924670408877128
2023.0,6.797841601096924
2024.0,5.8152924855167445
2025.0,4.969963622636203
2026.0,4.254795572954908
2027.0,3.662728896972474
2028.0,3.186704155188514
2029.0,2.819661908102638
2030.0,2.554542716214462
2031.0,2.3842871400235963
2032.0,2.3018357400296527
2033.0,2.3001290767322455
2034.0,2.372107710630986
2035.0,2.5107122022254864
2036.0,2.70888311201536
2037.0,2.9600674022635216
2038.0,3.2597376422860966
2039.0,3.6038728031625187
2040.0,3.9884518559722113
2041.0,4.409453771794609
2042.0,4.862857521709137
2043.0,5.34464207679523
2044.0,5.850786408132311
2045.0,6.377269486799813
2046.0,6.920070283877166
2047.0,7.4751677704438
2048.0,8.038540917579144
2049.0,8.606168696362625
2050.0,9.174030077873672
2051.0,9.738104033191718
2052.0,10.294369533396189
2053.0,10.840289467598746
2054.0,11.379262397039941
2055.0,11.916170800992555
2056.0,12.455897158729382
2057.0,13.003323949523196
2058.0,13.563333652646786
2059.0,14.140808747372938
2060.0,14.740631712974425
2061.0,15.367685028724047
2062.0,16.02685117389457
2063.0,16.723012627758784
2064.0,17.461051869589486
2065.0,18.245851378659438
2066.0,19.082293634241438
2067.0,19.975261115608266
2068.0,20.929636302032705
2069.0,21.950363991602483
2070.0,23.04263825766507
2071.0,24.211715492382925
2072.0,25.462852087918442
2073.0,26.801304436434087
2074.0,28.232328930092244
2075.0,29.76118196105537
2076.0,31.393119921485894
2077.0,33.133399203546226
2078.0,34.98727619939881
2079.0,36.96000730120606
2080.0,39.05684890113041
2081.0,41.2830573913343
2082.0,43.643889163980134
2083.0,46.144600611230366
2084.0,48.790448125247394
2085.0,51.5706610060234
2086.0,54.41036018486947
2087.0,57.21863950092643
2088.0,59.904592793335134
2089.0,62.37731390123635
2090.0,64.54589666377093
2091.0,66.31943492007969
2092.0,67.60702250930348
2093.0,68.31775327058311
2094.0,68.3607210430594
2095.0,67.64501966587319
2096.0,66.07974297816526
2097.0,63.573984819076514
2098.0,60.0368390277477
2099.0,55.3773994433197
2100.0,49.50475990493334
