Model;Scenario;Region;Variable;Unit;2005;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100;Notes
AIM/CGE;SSP3-Baseline;R5.2ASIA;Population;million;3472,068;3657,762;4037,784;4392,652;4674,295;4909,639;5089,833;5231,678;5367,354;5511,310;5668,675;
GCAM4;SSP4-Baseline;R5.2ASIA;Population;million;3492,484;3678,493;3990,544;4202,320;4305,626;4308,017;4210,395;4035,367;3813,770;3570,919;3332,632;
IMAGE;SSP1-Baseline;R5.2ASIA;Population;million;3497,970;3684,396;3967,964;4136,291;4197,338;4148,400;4001,250;3776,712;3493,950;3167,127;2814,792;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2ASIA;Population;million;3494,070;3655,680;3990,210;4246,600;4408,600;4474,110;4442,370;4335,290;4174,360;3974,860;3762,150;
REMIND-MAGPIE;SSP5-Baseline;R5.2ASIA;Population;million;3495,000;3681,000;3960,000;4120,000;4173,000;4116,000;3961,000;3733,000;3448,800;3123,100;2775,200;
AIM/CGE;SSP3-Baseline;R5.2LAM;Population;million;557,165;590,210;664,834;744,054;815,918;882,459;941,458;994,717;1045,779;1096,686;1148,895;
GCAM4;SSP4-Baseline;R5.2LAM;Population;million;553,156;586,223;642,064;681,673;703,227;706,956;694,646;671,026;639,525;603,446;565,963;
IMAGE;SSP1-Baseline;R5.2LAM;Population;million;556,492;589,496;639,041;669,367;682,479;678,237;658,892;628,945;590,654;543,104;486,243;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2LAM;Population;million;551,950;584,080;642,880;690,440;723,210;740,670;742,690;733,990;717,220;694,530;669,250;
REMIND-MAGPIE;SSP5-Baseline;R5.2LAM;Population;million;552,700;585,800;632,500;656,500;663,000;652,400;627,300;593,300;553,200;506,100;451,900;
AIM/CGE;SSP3-Baseline;R5.2MAF;Population;million;1101,249;1237,715;1559,228;1933,515;2335,635;2759,887;3175,691;3568,188;3942,801;4294,450;4617,385;
GCAM4;SSP4-Baseline;R5.2MAF;Population;million;1100,986;1237,419;1550,955;1905,934;2279,890;2664,823;3032,529;3370,321;3682,445;3965,200;4216,150;
IMAGE;SSP1-Baseline;R5.2MAF;Population;million;1111,018;1248,598;1510,062;1749,081;1962,230;2129,232;2242,831;2307,309;2320,938;2287,381;2212,670;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2MAF;Population;million;1100,840;1235,880;1528,480;1829,210;2124,690;2398,460;2627,730;2811,990;2948,990;3038,860;3087,570;
REMIND-MAGPIE;SSP5-Baseline;R5.2MAF;Population;million;1126,900;1264,300;1522,300;1751,300;1950,100;2098,600;2193,000;2241,100;2243,200;2204,400;2129,100;
AIM/CGE;SSP3-Baseline;R5.2OECD;Population;million;1082,654;1114,970;1152,907;1159,269;1145,514;1116,113;1074,710;1025,558;973,343;919,666;864,895;
GCAM4;SSP4-Baseline;R5.2OECD;Population;million;1140,132;1170,675;1215,671;1242,895;1255,222;1251,798;1234,467;1202,179;1155,749;1096,567;1026,878;
IMAGE;SSP1-Baseline;R5.2OECD;Population;million;1087,291;1120,404;1179,611;1231,694;1276,424;1312,339;1338,173;1348,781;1341,483;1311,221;1261,898;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2OECD;Population;million;1078,420;1112,820;1168,270;1214,970;1251,290;1278,590;1298,590;1308,060;1306,710;1294,620;1271,880;
REMIND-MAGPIE;SSP5-Baseline;R5.2OECD;Population;million;1187,300;1220,000;1295,500;1385,600;1477,400;1573,600;1672,800;1761,000;1833,600;1885,300;1916,100;
AIM/CGE;SSP3-Baseline;R5.2REF;Population;million;277,853;278,933;283,102;284,818;285,858;289,034;292,670;297,235;304,137;312,216;320,286;
GCAM4;SSP4-Baseline;R5.2REF;Population;million;219,884;223,072;227,119;225,743;221,715;214,933;205,413;193,636;179,951;165,454;150,823;
IMAGE;SSP1-Baseline;R5.2REF;Population;million;277,778;278,904;279,427;275,505;270,290;262,292;251,031;237,203;220,362;201,621;182,386;
MESSAGE-GLOBIOM;SSP2-Baseline;R5.2REF;Population;million;277,850;278,930;281,410;280,770;279,330;277,280;273,320;267,550;259,980;251,080;241,570;
REMIND-MAGPIE;SSP5-Baseline;R5.2REF;Population;million;143,800;143,000;142,000;140,700;139,900;138,100;134,800;129,600;121,800;112,200;101,700;
AIM/CGE;SSP3-Baseline;World;Population;million;6490,988;6879,590;7697,854;8514,307;9257,220;9957,131;10574,362;11117,377;11633,415;12134,327;12620,136;
GCAM4;SSP4-Baseline;World;Population;million;6506,642;6895,882;7626,353;8258,565;8765,680;9146,527;9377,450;9472,529;9471,440;9401,586;9292,446;
IMAGE;SSP1-Baseline;World;Population;million;6530,548;6921,798;7576,105;8061,938;8388,763;8530,500;8492,176;8298,950;7967,387;7510,454;6957,989;
MESSAGE-GLOBIOM;SSP2-Baseline;World;Population;million;6503,130;6867,390;7611,250;8261,990;8787,120;9169,110;9384,700;9456,880;9407,260;9253,950;9032,420;
REMIND-MAGPIE;SSP5-Baseline;World;Population;million;6505,000;6894,000;7552,000;8054,000;8403,000;8579,000;8589,000;8457,000;8200,000;7831,000;7375,000;
"© SSP Public Database (Version 2.0) https://tntcat.iiasa.ac.at/SspDb 
 generated: 2023-04-24 15:07:10";;;;;;;;;;;;;;;;
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation;;;;;;;;;;;;;;;;
